Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
Ole Miss,SEC,40,0.278,0.375,313,"1,322",367,75,8,668,70,290,186,33,23,2,355,24,15,1,27,6,
Omaha,Summit League,38,0.249,0.358,194,"1,267",316,70,2,474,28,169,178,42,12,16,341,21,16,2,47,6,
Oral Roberts,Summit League,38,0.286,0.379,264,"1,307",374,71,14,554,27,238,184,25,21,10,298,20,11,5,51,1,
Oregon,Pac-12,40,0.309,0.398,315,"1,414",437,69,9,695,57,289,172,46,12,10,245,32,12,4,41,4,
Oregon St.,Pac-12,40,0.307,0.419,333,"1,415",435,90,15,657,34,299,240,44,17,21,343,25,11,4,59,9,
Pacific,WCC,39,0.267,0.347,208,"1,362",364,79,4,553,34,193,128,44,10,16,333,19,12,3,16,2,
Penn,Ivy League,36,0.299,0.39,268,"1,255",375,68,4,574,41,238,166,33,17,11,269,22,10,8,26,2,
Penn St.,Big Ten,39,0.266,0.346,194,"1,319",351,60,15,513,24,174,141,27,15,7,315,27,14,4,27,1,
Pepperdine,WCC,38,0.267,0.347,207,"1,328",355,58,7,523,32,185,138,30,12,10,377,24,17,8,19,7,
Pittsburgh,ACC,38,0.276,0.395,258,"1,281",353,63,12,623,61,231,215,47,12,12,319,35,17,4,21,4,
Portland,WCC,38,0.266,0.364,211,"1,305",347,57,7,484,22,184,165,43,12,12,295,17,9,6,30,5,
Prairie View,SWAC,42,0.302,0.412,295,"1,398",422,65,13,558,15,254,205,72,23,21,292,20,27,5,64,4,
Presbyterian,Big South,40,0.279,0.371,244,"1,374",383,67,7,545,27,220,182,38,31,14,339,33,14,3,62,8,
Princeton,Ivy League,32,0.27,0.354,177,"1,135",306,48,6,462,32,167,124,32,14,6,334,12,7,5,18,3,
Purdue,Big Ten,36,0.28,0.394,273,"1,252",351,73,9,535,31,236,158,88,18,13,274,27,11,9,91,4,
